tick_ms,target_speed,actual_speed,control_output,position,state,faults
950,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
960,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
970,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
980,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
990,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
1000,0.000000,0.000000,0.000000,0.000000,READY,0x00000000
1010,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1020,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1030,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1040,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1050,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1060,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1070,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1080,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1090,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1100,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1110,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1120,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1130,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1140,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1150,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1160,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1170,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1180,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1190,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1200,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1210,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1220,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1230,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1240,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1250,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1260,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1270,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1280,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1290,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1300,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1310,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1320,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1330,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1340,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1350,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1360,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1370,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1380,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1390,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1400,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1410,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1420,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1430,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1440,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1450,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1460,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1470,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1480,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1490,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1500,0.000000,0.000000,0.000000,0.000000,RUNNING,0x00000000
1510,1000.000000,100.000000,100.000000,1.000000,RUNNING,0x00000000
1520,1000.000000,198.000000,100.000000,2.980000,RUNNING,0x00000000
1530,1000.000000,294.040009,100.000000,5.920400,RUNNING,0x00000000
1540,1000.000000,388.159210,100.000000,9.801992,RUNNING,0x00000000
1550,1000.000000,480.396027,100.000000,14.605952,RUNNING,0x00000000
1560,1000.000000,570.788086,100.000000,20.313833,RUNNING,0x00000000
1570,1000.000000,659.372314,100.000000,26.907557,RUNNING,0x00000000
1580,1000.000000,746.184875,100.000000,34.369404,RUNNING,0x00000000
1590,1000.000000,831.261169,100.000000,42.682014,RUNNING,0x00000000
1600,1000.000000,902.326904,87.690979,51.705284,RUNNING,0x00000000
1610,1000.000000,960.156250,75.875877,61.306847,RUNNING,0x00000000
1620,1000.000000,1006.818176,65.865028,71.375031,RUNNING,0x00000000
1630,1000.000000,1044.079468,57.397701,81.815826,RUNNING,0x00000000
1640,1000.000000,1073.447754,50.249874,92.550301,RUNNING,0x00000000
1650,1000.000000,1096.207886,44.229103,103.512383,RUNNING,0x00000000
1660,1000.000000,1113.453979,39.170200,114.646919,RUNNING,0x00000000
1670,1000.000000,1126.116211,34.931362,125.908081,RUNNING,0x00000000
1680,1000.000000,1134.984863,31.391001,137.257935,RUNNING,0x00000000
1690,1000.000000,1140.729980,28.444794,148.665237,RUNNING,0x00000000
1700,1000.000000,1143.918701,26.003372,160.104431,RUNNING,0x00000000
1710,1000.000000,1145.030518,23.990217,171.554733,RUNNING,0x00000000
1720,1000.000000,1144.469727,22.339785,182.999435,RUNNING,0x00000000
1730,1000.000000,1142.576416,20.996029,194.425201,RUNNING,0x00000000
1740,1000.000000,1139.635986,19.911058,205.821564,RUNNING,0x00000000
1750,1000.000000,1135.887207,19.043978,217.180435,RUNNING,0x00000000
1760,1000.000000,1131.529297,18.359886,228.495728,RUNNING,0x00000000
1770,1000.000000,1126.727783,17.829018,239.763000,RUNNING,0x00000000
1780,1000.000000,1121.619263,17.426012,250.979187,RUNNING,0x00000000
1790,1000.000000,1116.316284,17.129353,262.142365,RUNNING,0x00000000
1800,1000.000000,1110.910645,16.920727,273.251465,RUNNING,0x00000000
1810,1000.000000,1105.477051,16.784634,284.306244,RUNNING,0x00000000
